No,card,age,sex,withdrawal_days,count,CP
174,B,25,1,#VALUE!,1,1
175,B,48,1,#VALUE!,1,1
176,B,27,1,#VALUE!,1,1
177,B,62,1,#VALUE!,1,1
178,B,49,0,#VALUE!,1,1
179,B,57,1,686,1,1
180,B,21,1,#VALUE!,1,1
181,A,39,1,#VALUE!,1,1
182,B,29,1,#VALUE!,1,1
183,B,28,1,#VALUE!,1,1
184,B,26,1,#VALUE!,1,1
185,B,23,1,159,1,1
186,B,25,1,#VALUE!,1,1
187,A,22,1,#VALUE!,1,1
188,B,23,1,#VALUE!,1,1
189,B,85,1,#VALUE!,1,1
190,B,67,1,#VALUE!,1,1
191,B,79,0,#VALUE!,1,1
192,B,66,1,#VALUE!,1,1
193,A,46,1,#VALUE!,1,1
194,B,69,0,#VALUE!,1,1
195,B,75,1,#VALUE!,1,1
196,B,41,1,#VALUE!,1,1
197,B,50,1,#VALUE!,1,1
198,B,83,1,#VALUE!,1,1
199,A,74,1,#VALUE!,1,1
200,B,44,1,188,1,1
201,A,43,1,#VALUE!,1,1
202,B,46,1,432,1,1
203,B,67,1,#VALUE!,1,1
204,B,66,1,#VALUE!,1,1
205,B,38,1,#VALUE!,1,1
206,B,73,1,#VALUE!,1,1
207,B,53,1,#VALUE!,1,1
208,B,88,0,45,1,1
209,B,39,1,395,1,1
210,B,61,0,#VALUE!,1,1
211,B,82,1,431,1,1
212,B,50,1,#VALUE!,1,1
213,B,52,0,#VALUE!,1,1
214,B,65,1,#VALUE!,1,1
215,A,41,1,#VALUE!,1,1
216,B,63,1,#VALUE!,1,1
217,B,50,1,#VALUE!,1,1
218,B,40,1,404,1,1
219,B,83,1,#VALUE!,1,1
220,A,42,1,#VALUE!,1,1
221,B,35,1,#VALUE!,1,1
222,B,38,0,328,1,1
223,B,45,1,#VALUE!,1,1
224,B,75,1,#VALUE!,1,1
225,B,32,1,#VALUE!,1,1
226,B,66,1,#VALUE!,1,1
227,B,57,1,342,1,1
228,B,41,1,#VALUE!,1,1
229,B,64,1,#VALUE!,1,1
230,B,53,0,#VALUE!,1,1
231,B,62,1,335,1,1
232,B,65,1,#VALUE!,1,1
233,B,40,0,#VALUE!,1,1
234,B,47,1,#VALUE!,1,1
235,B,37,1,#VALUE!,1,1
236,B,62,1,398,2,1
237,B,37,1,#VALUE!,1,1
238,A,27,1,#VALUE!,1,1
239,B,98,1,54,1,1
240,B,33,1,#VALUE!,1,1
241,B,60,1,#VALUE!,1,1
242,B,34,0,322,1,1
243,B,46,1,#VALUE!,1,1
244,B,96,0,#VALUE!,1,1
245,B,45,0,#VALUE!,1,1
246,B,87,1,137,1,1
247,B,32,1,#VALUE!,1,1
248,B,25,1,#VALUE!,1,1
249,B,27,1,#VALUE!,1,1
250,B,43,0,374,1,1
251,B,25,1,#VALUE!,1,1
252,B,48,1,#VALUE!,1,1
253,B,61,1,#VALUE!,1,1
254,B,25,1,#VALUE!,1,1
255,B,45,1,#VALUE!,1,1
256,B,37,0,#VALUE!,1,1
257,B,33,1,#VALUE!,1,1
258,B,40,1,#VALUE!,1,1
259,B,23,1,#VALUE!,1,1
260,B,28,1,#VALUE!,1,1
261,B,70,1,#VALUE!,1,1
262,B,68,1,#VALUE!,1,1
263,B,74,1,#VALUE!,1,1
264,B,59,1,#VALUE!,1,1
265,R,44,1,#VALUE!,1,1
266,B,28,0,#VALUE!,1,1
267,B,24,0,#VALUE!,1,1
268,B,22,1,#VALUE!,1,1
269,A,26,1,#VALUE!,1,1
270,B,28,1,#VALUE!,1,1
271,B,25,1,#VALUE!,1,1
272,A,35,0,#VALUE!,1,1
273,B,51,1,#VALUE!,1,1
274,B,24,1,676,1,1
275,B,22,1,#VALUE!,1,1
276,A,25,1,#VALUE!,1,1
277,B,41,1,#VALUE!,1,1
278,B,21,1,#VALUE!,1,1
279,B,28,1,#VALUE!,1,1
280,B,51,1,#VALUE!,1,1
281,B,25,1,#VALUE!,1,1
282,B,21,1,#VALUE!,1,1
283,B,25,1,#VALUE!,1,1
284,B,35,1,#VALUE!,1,1
285,B,53,0,#VALUE!,1,1
286,B,20,1,#VALUE!,1,1
287,B,32,1,#VALUE!,1,1
288,B,39,1,#VALUE!,1,1
289,B,28,1,#VALUE!,1,1
290,B,30,1,#VALUE!,1,1
291,B,31,1,#VALUE!,1,1
292,B,29,1,347,1,1
293,B,45,1,#VALUE!,1,1
294,B,38,1,#VALUE!,1,1
295,B,29,1,#VALUE!,1,1
296,B,32,1,#VALUE!,1,1
297,B,32,1,#VALUE!,1,1
298,B,26,1,#VALUE!,1,1
299,B,28,1,#VALUE!,1,1
300,B,52,1,335,1,1
301,B,29,1,#VALUE!,1,1
302,B,61,1,#VALUE!,1,1
303,B,76,1,#VALUE!,1,1
304,B,28,1,#VALUE!,1,1
305,B,78,0,#VALUE!,1,1
306,B,24,1,#VALUE!,1,1
307,B,26,1,#VALUE!,1,1
308,B,49,1,#VALUE!,1,1
309,B,56,1,#VALUE!,1,1
310,B,20,1,#VALUE!,1,1
311,B,36,0,#VALUE!,1,1
312,B,21,1,#VALUE!,1,1
313,B,47,1,#VALUE!,1,1
314,A,22,1,#VALUE!,1,1
315,B,37,1,#VALUE!,1,1
316,A,49,1,#VALUE!,1,1
317,B,23,0,#VALUE!,1,1
318,B,50,1,#VALUE!,1,1
319,B,28,1,#VALUE!,1,1
320,B,29,1,#VALUE!,1,1
321,B,70,1,#VALUE!,1,1
322,A,41,1,#VALUE!,1,1
323,B,38,1,#VALUE!,1,1
324,B,44,1,#VALUE!,1,1
325,B,61,1,#VALUE!,1,1
326,A,28,1,#VALUE!,1,1
327,B,27,0,278,1,1
328,B,53,1,#VALUE!,1,1
329,B,27,1,#VALUE!,1,1
330,B,30,1,684,1,1
331,B,50,1,#VALUE!,1,1
332,B,26,1,286,1,1
333,B,61,1,#VALUE!,1,1
334,B,32,1,#VALUE!,1,1
335,B,23,0,#VALUE!,1,1
336,B,27,1,#VALUE!,1,1
337,B,33,1,#VALUE!,1,1
338,B,54,1,#VALUE!,1,1
339,A,29,1,#VALUE!,1,1
340,B,22,1,#VALUE!,1,1
341,B,31,1,#VALUE!,1,1
342,B,33,0,#VALUE!,1,1
343,B,24,1,95,1,1
344,B,22,1,#VALUE!,1,1
345,B,21,1,#VALUE!,1,1
346,B,28,0,#VALUE!,1,1
347,B,27,1,#VALUE!,1,1
348,A,57,0,#VALUE!,1,1
349,B,24,1,#VALUE!,1,1
350,B,49,1,#VALUE!,1,1
351,B,25,1,#VALUE!,1,1
352,B,57,1,#VALUE!,1,1
353,A,31,1,#VALUE!,1,1
354,B,39,1,#VALUE!,1,1
355,B,22,1,#VALUE!,1,1
356,B,27,1,#VALUE!,1,1
357,R,35,1,#VALUE!,1,1
358,B,25,1,#VALUE!,1,1
359,B,48,1,#VALUE!,1,1
360,B,21,1,308,1,1
361,B,21,1,658,1,1
362,B,71,1,#VALUE!,1,1
363,B,61,1,#VALUE!,1,1
364,B,79,0,#VALUE!,1,1
365,B,75,1,#VALUE!,1,1
366,B,27,1,#VALUE!,1,1
367,A,31,1,#VALUE!,1,1
368,A,21,1,#VALUE!,1,1
369,B,32,1,#VALUE!,1,1
370,B,31,1,#VALUE!,1,1
371,B,25,1,#VALUE!,1,1
372,B,25,1,#VALUE!,1,1
373,B,26,1,252,1,1
374,B,32,1,#VALUE!,1,1
375,B,28,1,#VALUE!,1,1
376,B,30,1,#VALUE!,1,1
377,B,21,1,#VALUE!,1,1
378,B,25,1,#VALUE!,1,1
379,A,31,0,#VALUE!,1,1
380,B,24,1,#VALUE!,1,1
381,B,27,1,280,1,1
382,B,31,1,#VALUE!,1,1
383,B,33,1,473,1,1
384,B,29,1,322,1,1
385,B,28,1,#VALUE!,1,1
386,B,41,1,#VALUE!,1,1
387,B,26,1,#VALUE!,1,1
388,B,50,1,#VALUE!,1,1
389,B,60,1,#VALUE!,1,1
390,B,73,1,#VALUE!,1,1
391,B,32,1,#VALUE!,1,1
392,B,42,1,#VALUE!,1,1
393,B,21,1,#VALUE!,1,1
394,B,42,1,#VALUE!,1,1
395,B,52,1,#VALUE!,1,1
396,R,24,1,#VALUE!,1,1
397,B,46,1,#VALUE!,1,1
398,B,41,1,#VALUE!,1,1
399,B,27,1,#VALUE!,1,1
400,B,65,1,#VALUE!,1,1
401,B,61,1,#VALUE!,1,1
402,R,44,1,#VALUE!,1,1
403,B,40,0,#VALUE!,1,1
404,B,68,1,#VALUE!,1,1
405,B,55,1,#VALUE!,1,1
406,B,25,1,#VALUE!,1,1
407,B,34,1,#VALUE!,1,1
408,B,40,1,#VALUE!,1,1
409,B,35,1,#VALUE!,1,1
410,B,30,1,#VALUE!,1,1
411,B,25,1,#VALUE!,1,1
412,B,26,1,#VALUE!,1,1
413,B,52,1,#VALUE!,1,1
414,B,87,1,181,1,1
415,B,33,1,#VALUE!,1,1
416,B,28,1,#VALUE!,1,1
417,B,27,1,#VALUE!,1,1
418,A,36,1,#VALUE!,1,1
419,B,35,1,#VALUE!,1,1
420,B,27,1,#VALUE!,1,1
421,B,53,1,#VALUE!,1,1
422,B,31,1,343,1,1
423,B,28,1,#VALUE!,1,1
424,B,26,1,#VALUE!,1,1
425,B,27,1,#VALUE!,2,1
426,B,34,0,#VALUE!,1,1
427,B,29,1,#VALUE!,1,1
428,B,31,1,#VALUE!,1,1
429,B,36,1,#VALUE!,1,1
430,R,29,1,#VALUE!,1,1
431,B,26,1,#VALUE!,1,1
432,B,32,1,545,1,1
433,B,68,1,#VALUE!,1,1
434,B,28,1,353,1,1
435,B,25,1,#VALUE!,1,1
436,B,49,0,#VALUE!,1,1
437,B,29,1,#VALUE!,1,1
438,B,28,1,#VALUE!,1,1
439,B,28,1,335,1,1
440,B,32,1,315,1,1
441,B,78,1,118,1,1
442,B,26,1,#VALUE!,1,1
443,B,43,0,#VALUE!,1,1
444,B,32,0,#VALUE!,1,1
445,B,36,1,#VALUE!,1,1
446,B,45,1,#VALUE!,1,1
447,B,45,1,#VALUE!,1,1
448,B,36,0,#VALUE!,1,1
449,B,72,1,#VALUE!,1,1
450,B,63,1,87,1,1
451,B,51,1,#VALUE!,1,1
452,B,26,1,#VALUE!,1,1
453,B,26,1,#VALUE!,1,1
454,B,37,1,#VALUE!,1,1
455,B,37,1,355,1,1
456,A,26,1,#VALUE!,1,1
457,R,44,0,#VALUE!,1,1
458,R,48,1,#VALUE!,1,1
459,B,48,1,#VALUE!,1,1
460,B,50,1,#VALUE!,1,1
461,B,54,1,#VALUE!,1,1
462,B,58,1,#VALUE!,1,1
463,B,49,1,#VALUE!,1,1
464,B,49,0,132,1,1
465,B,72,0,#VALUE!,1,1
466,B,69,1,#VALUE!,1,1
467,B,47,0,303,2,1
468,B,74,1,#VALUE!,1,1
469,B,51,1,#VALUE!,1,1
470,B,41,1,#VALUE!,1,1
471,B,47,1,212,1,1
472,B,85,0,660,1,1
473,A,44,1,#VALUE!,1,1
474,B,54,1,#VALUE!,1,1
475,B,66,1,#VALUE!,1,1
476,B,63,0,#VALUE!,1,1
477,B,39,0,#VALUE!,1,1
478,B,48,0,#VALUE!,1,1
479,B,37,1,#VALUE!,1,1
480,B,45,1,#VALUE!,1,1
481,B,56,1,206,1,1
482,B,48,1,#VALUE!,1,1
483,B,54,1,#VALUE!,1,1
484,B,48,1,#VALUE!,1,1
485,B,35,1,#VALUE!,1,1
486,B,45,1,#VALUE!,1,1
487,B,53,1,#VALUE!,1,1
488,B,40,1,#VALUE!,1,1
489,B,44,1,#VALUE!,1,1
490,B,34,1,#VALUE!,1,1
491,B,66,1,278,1,1
492,B,37,1,#VALUE!,1,1
493,B,45,1,328,2,1
494,B,52,1,#VALUE!,1,1
495,B,31,1,#VALUE!,1,1
496,B,69,1,#VALUE!,1,1
497,B,35,1,#VALUE!,1,1
498,B,38,1,#VALUE!,1,1
499,B,36,0,#VALUE!,1,1
500,B,33,1,368,1,1
501,B,90,1,#VALUE!,1,1
502,B,31,1,#VALUE!,1,1
503,R,32,1,#VALUE!,1,1
504,B,64,1,#VALUE!,1,1
505,B,45,1,#VALUE!,1,1
506,B,31,1,#VALUE!,1,1
507,B,47,1,#VALUE!,1,1
508,B,56,1,#VALUE!,1,1
509,A,42,0,#VALUE!,1,1
510,B,34,1,278,3,1
511,B,57,1,542,1,1
512,B,53,1,#VALUE!,1,1
513,B,33,1,#VALUE!,1,1
514,B,63,0,#VALUE!,1,1
515,B,47,1,#VALUE!,1,1
516,B,44,1,#VALUE!,1,1
517,B,32,1,#VALUE!,1,1
518,A,46,1,#VALUE!,1,1
519,B,28,1,#VALUE!,1,1
520,B,87,0,#VALUE!,1,1
521,B,28,1,#VALUE!,1,1
522,B,30,1,279,1,1
523,B,25,1,#VALUE!,1,1
524,B,26,0,#VALUE!,1,1
525,B,26,1,#VALUE!,1,1
526,B,36,0,#VALUE!,1,1
527,B,25,1,#VALUE!,1,1
528,B,25,0,115,1,1
529,B,55,1,#VALUE!,1,1
530,B,42,1,#VALUE!,1,1
531,B,51,1,#VALUE!,1,1
532,B,44,0,#VALUE!,1,1
533,B,50,1,#VALUE!,1,1
534,B,34,1,#VALUE!,1,1
535,B,31,0,#VALUE!,1,1
536,B,26,1,#VALUE!,1,1
537,A,27,1,#VALUE!,1,1
538,A,55,1,#VALUE!,1,1
539,B,61,1,#VALUE!,1,1
540,A,59,1,#VALUE!,1,1
541,B,27,1,#VALUE!,1,1
542,B,28,1,#VALUE!,1,1
543,B,30,1,#VALUE!,1,1
544,R,24,1,#VALUE!,1,1
545,B,23,1,#VALUE!,1,1
546,B,59,1,184,1,1
547,B,32,1,#VALUE!,1,1
548,A,25,1,#VALUE!,1,1
549,B,28,1,#VALUE!,1,1
550,B,49,1,#VALUE!,1,1
551,B,25,1,#VALUE!,1,1
552,B,27,0,#VALUE!,1,1
553,B,57,0,#VALUE!,1,1
554,B,55,0,#VALUE!,1,1
555,B,56,1,#VALUE!,1,1
556,B,26,1,#VALUE!,1,1
557,B,48,0,#VALUE!,1,1
558,B,25,1,#VALUE!,1,1
559,B,46,1,#VALUE!,1,1
560,B,65,1,307,1,1
561,B,61,1,#VALUE!,1,1
562,B,24,1,#VALUE!,1,1
563,B,23,1,#VALUE!,1,1
564,B,50,1,#VALUE!,1,1
565,B,34,1,#VALUE!,1,1
566,B,25,1,#VALUE!,1,1
567,B,28,1,#VALUE!,1,1
568,B,29,1,#VALUE!,1,1
569,B,26,1,#VALUE!,1,1
570,B,50,0,#VALUE!,1,1
571,B,28,1,#VALUE!,1,1
572,B,24,1,#VALUE!,1,1
573,B,33,1,620,1,1
574,B,37,0,620,1,1
575,B,27,1,#VALUE!,1,1
576,B,25,1,#VALUE!,1,1
577,B,27,1,#VALUE!,1,1
578,R,32,0,#VALUE!,1,1
579,B,38,0,#VALUE!,1,1
580,B,64,1,#VALUE!,1,1
581,B,26,1,39,1,1
582,B,61,1,#VALUE!,1,1
583,B,40,0,#VALUE!,1,1
584,B,49,1,#VALUE!,1,1
585,A,60,1,#VALUE!,1,1
586,B,24,1,#VALUE!,1,1
